,UR,CPI,FFIR,TBILL,TBON,ER,GDP,date
0,5.8333335,28.993334,2.8,2.8,3.61,281.271,14.3195,1959-01-01
1,5.1,29.043333,3.39,3.21,4.07,281.254,14.8032,1959-04-01
2,5.266667,29.193333,3.76,4.04,5.0,280.37,15.5764,1959-07-01
3,5.6,29.37,3.99,4.49,5.14,279.845,15.4222,1959-10-01
4,5.133333,29.396667,3.84,3.31,4.02,280.586,16.5126,1960-01-01
5,5.233333,29.573334,3.32,2.46,3.36,280.268,16.5398,1960-04-01
6,5.5333333,29.59,2.6,2.48,3.07,281.271,17.1065,1960-07-01
7,6.266667,29.78,1.98,2.25,2.86,280.737,17.8172,1960-10-01
8,6.8,29.84,2.02,2.39,2.88,279.75,18.3132,1961-01-01
9,7.0,29.83,1.73,2.33,3.06,278.98,18.662,1961-04-01
10,6.766667,29.946667,1.88,2.28,3.06,281.22,18.9993,1961-07-01
11,6.2,29.99,2.33,2.6,3.18,280.96,19.935,1961-10-01
12,5.633333,30.106667,2.7,2.72,3.06,281.53,20.2105,1962-01-01
13,5.5333333,30.22,2.68,2.73,3.03,280.83,20.4924,1962-04-01
14,5.5666666,30.306667,2.9,2.78,3.06,280.09,20.7547,1962-07-01
15,5.5333333,30.38,2.93,2.87,3.01,280.33,21.1522,1962-10-01
16,5.766667,30.476667,2.98,2.89,3.03,280.06,21.4323,1963-01-01
17,5.733333,30.533333,2.99,2.99,3.2,280.02,22.0484,1963-04-01
18,5.5,30.72,3.48,3.38,3.57,279.77,22.663,1963-07-01
19,5.5666666,30.803333,3.38,3.52,3.81,279.65,23.4139,1963-10-01
20,5.4666667,30.93,3.43,3.54,3.91,279.81,24.2031,1964-01-01
21,5.2,30.98,3.5,3.48,3.83,279.42,24.889,1964-04-01
22,5.0,31.05,3.45,3.53,3.84,278.34,25.2485,1964-07-01
23,4.9666667,31.193333,3.85,3.84,4.02,279.06,25.4727,1964-10-01
24,4.9,31.29,4.04,3.93,4.06,279.24,25.7379,1965-01-01
25,4.6666665,31.49,4.04,3.8,3.99,279.23,26.1416,1965-04-01
26,4.366667,31.583334,4.01,3.92,4.2,279.67,26.7008,1965-07-01
27,4.1,31.75,4.32,4.37,4.72,280.21,27.0065,1965-10-01
28,3.8666666,32.046665,4.65,4.58,4.97,279.52,27.7891,1966-01-01
29,3.8333333,32.336666,5.17,4.5,4.97,278.98,28.9819,1966-04-01
30,3.7666667,32.616665,5.4,5.36,5.82,278.93,29.6534,1966-07-01
31,3.7,32.883335,5.4,4.96,5.2,279.01,30.1904,1966-10-01
32,3.8333333,32.966667,4.53,4.26,4.35,279.63,31.003,1967-01-01
33,3.8333333,33.166668,3.98,3.53,4.48,279.12,31.8183,1967-04-01
34,3.8,33.5,4.0,4.42,5.24,278.37,32.9275,1967-07-01
35,3.9,33.866665,4.51,4.96,5.71,240.63,33.5658,1967-10-01
36,3.7333333,34.2,5.05,5.16,5.58,239.97,34.339,1968-01-01
37,3.5666666,34.533333,6.07,5.52,5.98,238.46,35.5893,1968-04-01
38,3.5333333,35.0,5.78,5.2,5.44,238.74,36.4165,1968-07-01
39,3.4,35.433334,6.02,5.94,6.19,238.42,38.7207,1968-10-01
40,3.4,35.866665,6.79,6.01,6.34,239.17,38.9211,1969-01-01
41,3.4333334,36.433334,8.9,6.43,7.04,238.95,40.019,1969-04-01
42,3.5666666,36.933334,9.15,7.08,7.82,238.4,40.9396,1969-07-01
43,3.5666666,37.5,8.97,7.81,8.17,239.73,42.6926,1969-10-01
44,4.1666665,38.1,7.76,6.63,6.97,240.58,43.9338,1970-01-01
45,4.766667,38.633335,7.6,6.67,7.55,239.77,44.3103,1970-04-01
46,5.1666665,39.033333,6.29,6.12,6.73,238.53,45.5504,1970-07-01
47,5.8333335,39.6,4.9,4.87,5.0,239.06,45.5102,1970-10-01
48,5.9333334,39.933334,3.71,3.38,3.69,241.87,45.6941,1971-01-01
49,5.9,40.3,4.91,4.74,5.64,241.87,46.4166,1971-04-01
50,6.0333333,40.7,5.55,4.69,5.41,246.94,47.2102,1971-07-01
51,5.9333334,41.0,4.14,4.01,4.61,252.66,47.6719,1971-10-01
52,5.766667,41.333332,3.83,3.73,4.67,261.81,48.9969,1972-01-01
53,5.7,41.6,4.46,3.91,4.93,256.91,49.9872,1972-04-01
54,5.5666666,41.933334,4.87,4.66,5.52,244.1,50.9713,1972-07-01
55,5.366667,42.366665,5.33,5.07,5.52,234.48,52.2425,1972-10-01
56,4.9333334,43.033333,7.09,6.09,6.85,247.24,53.9043,1973-01-01
57,4.9333334,43.933334,8.49,7.19,7.31,257.62,54.4643,1973-04-01
58,4.8,44.8,10.78,8.29,8.31,241.83,54.4522,1973-07-01
59,4.766667,45.933334,9.95,7.45,7.27,231.74,54.9244,1973-10-01
60,5.133333,47.3,9.35,7.96,7.76,234.06,53.5401,1974-01-01
61,5.2,48.566666,11.93,7.9,8.67,239.02,54.0039,1974-04-01
62,5.633333,49.933334,11.34,8.06,8.87,231.65,54.667,1974-07-01
63,6.6,51.466667,8.53,7.15,7.31,232.94,54.326,1974-10-01
64,8.266666,52.566666,5.54,5.49,6.11,241.8,54.2179,1975-01-01
65,8.866667,53.2,5.55,5.34,6.29,228.03,55.5512,1975-04-01
66,8.466666,54.266666,6.24,6.42,7.75,208.35,56.1426,1975-07-01
67,8.3,55.266666,5.2,5.44,6.6,202.21,56.771,1975-10-01
68,7.733333,55.9,4.84,5.0,6.21,194.28,57.2991,1976-01-01
69,7.5666666,56.4,5.48,5.41,6.52,176.4,57.7307,1976-04-01
70,7.733333,57.3,5.25,5.08,5.84,172.72,58.455,1976-07-01
71,7.766667,58.133335,4.65,4.35,4.89,167.84,58.5833,1976-10-01
72,7.5,59.2,4.69,4.6,5.5,171.7408,60.0074,1977-01-01
73,7.133333,60.233334,5.39,5.02,5.8,171.914,60.4644,1977-04-01
74,6.9,61.066666,6.14,5.81,6.53,174.3139,60.8331,1977-07-01
75,6.6666665,61.966667,6.56,6.07,6.96,185.4575,61.7063,1977-10-01
76,6.3333335,63.033333,6.79,6.29,7.31,190.5467,62.7128,1978-01-01
77,6.0,64.46667,7.6,6.73,8.09,183.7244,63.1962,1978-04-01
78,6.0333333,65.96667,8.45,7.85,8.64,195.95,64.0711,1978-07-01
79,5.9,67.5,10.03,9.08,10.3,198.6109,64.8563,1978-10-01
80,5.866667,69.2,10.09,9.48,10.25,203.78,65.423,1979-01-01
81,5.7,71.4,10.29,9.06,9.57,211.19,66.5621,1979-04-01
82,5.866667,73.7,11.43,10.26,10.84,219.66,67.1826,1979-07-01
83,5.9666667,76.03333,13.78,12.04,11.98,220.07,67.7696,1979-10-01
84,6.3,79.03333,17.19,15.2,15.82,220.4511,68.7697,1980-01-01
85,7.3333335,81.7,9.47,7.07,8.16,233.5943,68.6062,1980-04-01
86,7.6666665,83.23333,10.87,10.27,11.52,240.1233,69.2179,1980-07-01
87,7.4,85.566666,18.9,15.49,14.88,234.5937,70.0654,1980-10-01
88,7.4333334,87.933334,14.7,13.36,13.71,223.19,71.1652,1981-01-01
89,7.4,89.76667,19.1,14.73,14.86,197.38,71.2458,1981-04-01
90,7.4,92.26667,15.87,14.7,16.52,181.46,71.9619,1981-07-01
91,8.233334,93.76667,12.37,10.85,12.85,190.3329,72.2424,1981-10-01
92,8.833333,94.6,14.68,12.68,13.95,180.5,72.9219,1982-01-01
93,9.433333,95.96667,14.15,12.47,14.07,175.63,73.858,1982-04-01
94,9.9,97.63333,10.31,7.92,10.85,171.2,74.1411,1982-07-01
95,10.666667,97.933334,8.95,7.94,8.91,161.6,74.8163,1982-10-01
96,10.366667,98.0,8.77,8.35,9.04,149.0,75.1548,1983-01-01
97,10.133333,99.13333,8.98,8.79,9.66,154.8,75.362,1983-04-01
98,9.366667,100.1,9.45,9.0,10.16,149.86,76.5103,1983-07-01
99,8.533334,101.1,9.47,9.0,10.11,143.38,76.7657,1983-10-01
100,7.866667,102.53333,9.91,9.52,10.59,145.57,77.9796,1984-01-01
101,7.4333334,103.5,11.06,9.87,12.08,137.7,79.0376,1984-04-01
102,7.4333334,104.4,11.3,10.37,11.58,125.63,79.5258,1984-07-01
103,7.3,105.3,8.38,8.06,9.33,118.61,80.1512,1984-10-01
104,7.233333,106.26667,8.58,8.52,9.86,112.53,81.3921,1985-01-01
105,7.3,107.23333,7.53,6.95,7.8,128.08,82.9006,1985-04-01
106,7.2,107.9,7.92,7.1,8.07,136.42,83.3768,1985-07-01
107,7.0333333,109.0,8.27,7.1,7.67,144.47,84.6351,1985-10-01
108,7.0333333,109.566666,7.48,6.56,7.03,146.74,83.7738,1986-01-01
